(null)
76	real
1	1	0.000538793106685508
2	1	-1.61861601838582e-12
3	1	-1.61861601838582e-12
4	1	0
10	1	-0.0003268
12	1	0.0003268
15	1	-0.000538793103448276
1	2	0.707106781184311
2	2	2.8291522327752
3	2	-0.707545841590268
10	2	-3.33333333333333e-07
15	2	-0.707106781187549
16	2	-0.707106781187549
23	2	-0.707106781187549
24	2	-0.707106781187549
38	2	-0.000285714285714286
1	3	-0.707106781187548
2	3	-0.000439060404338745
3	3	0.708540866467509
28	3	-0.00099502487562189
1	4	0
4	4	0.000538793106685508
5	4	-1.61861601838582e-12
6	4	-1.61861601838582e-12
10	4	0.0003268
12	4	-0.0003268
15	4	-0.000538793103448276
4	5	0.707106781184311
5	5	1.41462984087545
6	5	-0.707522726351334
10	5	-3.33333333333333e-07
15	5	-0.707106781187549
16	5	-0.707106781187549
66	5	1
4	6	-0.707106781187548
5	6	-0.00041594516540444
6	6	0.708517751228574
28	6	-0.00099502487562189
7	7	0
8	7	0
10	7	1.05e-05
42	7	-1.05e-05
52	7	1
7	8	0
8	8	0.0002
10	8	0.0498
41	8	-0.05
9	9	1.4142135623751
10	9	-0.707106781187549
20	9	-0.707106781187549
2	10	-3.33333333333333e-07
5	10	-3.33333333333333e-07
8	10	-0.0002
9	10	-0.707106781187549
10	10	13.6573697211862
12	10	-3.26733320264001e-05
17	10	-1
35	10	-11.00005
37	10	-1e-07
41	10	-0.95
42	10	-0.9999795
51	10	-1
52	10	-1
53	10	0
55	10	-1
57	10	-1
64	10	1
65	10	0
66	10	1
11	11	0
12	11	0
65	11	1
10	12	-1.00003267333203
11	12	0
12	12	3.26733320264001e-05
35	12	1
13	13	0.707106781187547
28	13	-0.707106781187547
13	14	1
15	14	-1
26	14	-1
70	14	1
1	15	-0.000538793103448276
2	15	-0.707106781187549
4	15	-0.000538793103448276
5	15	-0.707106781187549
15	15	3.53661649214464
16	15	-0.707111781187549
28	15	-1.41421356237509
47	15	-0.8
48	15	0
50	15	0
51	15	1
52	15	1
59	15	0.5
62	15	0.5
64	15	-0.5
68	15	-1
71	15	-1
2	16	-0.707106781187549
5	16	-0.707106781187549
15	16	-0.707111781187549
16	16	2.12132534356265
19	16	1
47	16	-0.2
48	16	-1
50	16	-1
52	16	-1
59	16	-0.5
62	16	-0.5
64	16	-0.5
68	16	1
10	17	-1
15	17	-1
16	17	1
20	17	1
9	18	-1
10	18	1
33	18	-1
44	18	1
15	19	1
16	19	0
76	19	-1
9	20	-0.707106781187549
17	20	1
20	20	0.707106781187549
21	21	1.4142135623751
22	21	-0.707106781187549
23	21	-0.707106781187549
21	22	-0.707106781187549
22	22	1.41449927666081
25	22	-0.707106781187549
45	22	-0.000285714285714286
75	22	1
2	23	-0.707106781187549
21	23	-0.707106781187549
23	23	1.4142135623751
2	24	-0.707106781187549
24	24	1.4142135623751
25	24	-0.707106781187549
22	25	-0.707106781187549
24	25	-0.707106781187549
25	25	1.4142135623751
14	26	-1
26	26	0.707106781187547
27	26	-0.707106781187547
26	27	-0.707106781187547
27	27	0.71044011452088
39	27	-0.00333333333333333
3	28	-0.00099502487562189
6	28	-0.00099502487562189
13	28	-0.707106781187547
15	28	-1.41421356237509
28	28	2.83041717450143
29	28	-0.707106781187547
51	28	-1
28	29	-0.707106781187547
29	29	0.727106781187547
40	29	-0.02
30	30	10001.4142135624
31	30	-0.707106781187547
32	30	-0.707106781187547
37	30	-10000
30	31	-0.707106781187547
31	31	1.41421366237509
32	31	-1e-07
33	31	-0.707106781187547
30	32	-0.707106781187547
31	32	-1e-07
32	32	1.41421366237509
33	32	-0.707106781187547
18	33	-1
31	33	-0.707106781187547
32	33	-0.707106781187547
33	33	1.41421356237509
34	34	0.707106781187547
35	34	-0.707106781187547
73	34	1
10	35	-5e-05
34	35	-0.707106781187547
35	35	1.41426356237509
36	35	-0.707106781187547
53	35	-1
65	35	-1
35	36	-0.707106781187547
36	36	0.707106781187547
74	36	-1
10	37	-1e-07
30	37	-10000
37	37	10000.1000001
38	37	-0.1
2	38	-0.000285714285714286
37	38	-0.1
38	38	0.100285714285714
27	39	-0.00333333333333333
39	39	0.00333333333333333
48	39	1
29	40	-0.02
40	40	0.02
72	40	-1
10	41	-11
35	41	10
41	41	1
10	42	-1
42	42	1
66	42	-1
43	43	0.00666666666666667
44	43	-0.00666666666666667
53	43	1
55	43	-1
57	43	-1
18	44	1
43	44	-0.00666666666666667
44	44	0.00666666666666667
55	44	1
57	44	1
22	45	-0.000285714285714286
45	45	0.000285714285714286
69	45	1
10	46	1e-05
42	46	-1e-05
51	46	1
15	47	-1
15	48	-1
39	48	1
50	49	1
72	49	1
15	50	-1
49	50	1
10	51	-1
46	51	1
7	52	1
10	52	-1
10	53	-1
43	53	1
55	54	1
10	55	-1
54	55	1
57	56	1
10	57	-1
56	57	1
59	58	1
58	59	1
60	59	-1
59	60	-1
73	60	-1
62	61	1
74	61	1
61	62	1
63	62	-1
62	63	-1
10	64	1
15	64	-1
10	65	-1
11	65	1
5	66	1
67	66	-1
66	67	-1
75	67	-1
15	68	-1
16	68	1
45	69	1
14	70	1
71	70	1
15	71	-1
70	71	1
40	72	-1
49	72	1
34	73	1
60	73	-1
36	74	-1
61	74	1
22	75	1
67	75	-1
19	76	-1
0	0	0.0

